#{"t_start": 1620892422.01914, "env_id": "CartPole-v0"}
r,l,t
9.0,9,2.223934
10.0,10,2.244431
10.0,10,2.263142
10.0,10,2.281807
10.0,10,2.300502
10.0,10,2.319054
9.0,9,2.335735
8.0,8,2.350604
10.0,10,2.370368
10.0,10,2.389617
10.0,10,2.409331
10.0,10,2.428682
10.0,10,2.44831
9.0,9,2.465686
9.0,9,2.482165
9.0,9,2.498597
10.0,10,2.516861
9.0,9,2.533259
10.0,10,2.551431
8.0,8,2.566004
11.0,11,2.586008
10.0,10,2.604234
9.0,9,2.620631
9.0,9,2.637083
10.0,10,2.655464
8.0,8,2.670078
9.0,9,2.686519
9.0,9,2.702959
10.0,10,2.722053
9.0,9,2.738763
9.0,9,2.755199
8.0,8,2.769846
9.0,9,2.786309
9.0,9,2.802756
9.0,9,2.819197
9.0,9,2.835426
8.0,8,2.849905
10.0,10,2.868162
9.0,9,2.884537
10.0,10,2.902691
9.0,9,2.919033
8.0,8,2.933496
8.0,8,2.948002
8.0,8,2.962583
10.0,10,2.980795
9.0,9,2.997381
10.0,10,3.015608
10.0,10,3.033903
10.0,10,3.05218
9.0,9,3.069262
10.0,10,3.089149
9.0,9,3.106194
9.0,9,3.122706
9.0,9,3.139638
10.0,10,3.158499
9.0,9,3.176139
10.0,10,3.194845
10.0,10,3.21341
10.0,10,3.231489
10.0,10,3.249593
10.0,10,3.267838
9.0,9,3.284217
11.0,11,3.304206
10.0,10,3.322326
9.0,9,3.338575
9.0,9,3.354992
10.0,10,3.373169
10.0,10,3.391347
9.0,9,3.407787
9.0,9,3.424237
9.0,9,3.440575
9.0,9,3.456935
9.0,9,3.473482
10.0,10,3.492439
8.0,8,3.50713
9.0,9,3.523528
9.0,9,3.540061
9.0,9,3.55647
10.0,10,3.576449
10.0,10,3.594992
10.0,10,3.6134
8.0,8,3.628205
10.0,10,3.646489
10.0,10,3.665611
10.0,10,3.68394
9.0,9,3.700429
10.0,10,3.718528
8.0,8,3.733946
10.0,10,3.752125
8.0,8,3.766665
9.0,9,3.783108
10.0,10,3.801329
9.0,9,3.817723
9.0,9,3.834014
9.0,9,3.850272
10.0,10,3.868529
10.0,10,3.886722
8.0,8,3.901219
9.0,9,3.917566
